Window_Size,Sample_Count_Mio,Frequency,5%%-Quantile,95%%-Quantile,First_Lower_Outlier,First_Upper_Outlier,Std_Deviation,Mean,0.1%%-Quantile,99.9%%-Quantile,0.01%%-Quantile,99.99%%-Quantile,0.001%%-Quantile,99.999%%-Quantile
20,187,0,0.9265,1.47,0.7695,1.632,0.1644795868976945,1.200586290931244,0.708,1.7525,0.6305,1.913,0.5645,2.015
20,187,1,0.58593,0.96363,0.46938,1.07895,0.11432684690392436,0.7745734926995385,0.44335,1.14938,0.39325,1.23955,0.35104,1.29439
20,187,2,0.03295,0.25633,,0.3195,0.0686085533598881,0.13121265946721775,0.0034,0.37494,0.0,0.42063,0.0,0.45693
20,187,3,0.12298,0.45731,0.00519,0.56436,0.1012923823259789,0.28610903922048436,0.02318,0.60134,0.00746,0.6568,0.00238,0.70056
20,187,4,0.0336,0.25985,,0.32402,0.06942697787632549,0.13315419576726892,0.00383,0.37683,0.0,0.42083,0.0,0.45515
20,187,5,0.0614,0.37825,,0.47888,0.09637347003804957,0.2094184665635165,0.00863,0.52166,0.00255,0.57858,0.00071,0.62367
20,187,6,0.03466,0.2688,,0.3368,0.07178186491873813,0.1379354620042445,0.00357,0.38326,0.0,0.4248,0.0,0.45665
20,187,7,0.05002,0.33932,,0.42714,0.08829919238461785,0.18183810096947914,0.00705,0.47933,0.00223,0.53169,0.0007,0.574
20,187,8,0.0334,0.25623,,0.32089,0.06838269252500273,0.1319454381771936,0.0038,0.37019,0.0,0.41367,0.0,0.44846
20,187,9,0.04578,0.32337,,0.4071,0.08489221834344339,0.1711662322649664,0.00641,0.45956,0.00203,0.51087,0.00064,0.55042
20,187,10,0.009,0.2875,,0.352,0.08828317104665424,0.11659769222520298,0.0,0.475,0.0,0.5535,0.0,0.6195
