Window_Size,Sample_Count_Mio,Frequency,5%%-Quantile,95%%-Quantile,First_Lower_Outlier,First_Upper_Outlier,Std_Deviation,Mean,0.1%%-Quantile,99.9%%-Quantile,0.01%%-Quantile,99.99%%-Quantile,0.001%%-Quantile,99.999%%-Quantile
100,164,0,1.0351,1.3426,0.9851,1.4155,0.09205206182268906,1.198464347953969,0.8937,1.5586,0.8145,1.757,0.659,1.9765
100,164,1,0.65587,0.86222,0.61904,0.91253,0.061960488142494385,0.7647283938534896,0.56169,1.00642,0.5131,1.12932,0.41584,1.26232
100,164,2,0.01423,0.11938,,0.14206,0.0327787524044472,0.05841558997525016,0.00188,0.20084,0.0002,0.23996,0.0,0.27638
100,164,3,0.17838,0.33751,0.1319,0.38619,0.04852924754852681,0.25875700214075537,0.09537,0.41534,0.06038,0.45488,0.03315,0.49264
100,164,4,0.01452,0.11407,,0.14009,0.030716914714269426,0.05777787183223377,0.00193,0.17633,0.00026,0.20549,0.0,0.23205
100,164,5,0.08649,0.23522,0.03842,0.28151,0.04516589099208486,0.1602053085781776,0.0264,0.30483,0.00957,0.33641,0.00305,0.36491
100,164,6,0.01457,0.11333,,0.13965,0.0304454557952896,0.05765924986702958,0.00193,0.17341,0.00021,0.20108,0.0,0.22652
100,164,7,0.04882,0.19521,,0.24077,0.044275963756641126,0.12046248911450255,0.00821,0.26407,0.00262,0.29447,0.00083,0.32202
100,164,8,0.01487,0.11517,,0.14213,0.030905286562552144,0.0587230234273827,0.00197,0.17569,0.00026,0.20344,0.0,0.22972
100,164,9,0.03302,0.17309,,0.2167,0.04243394259018718,0.10008521647194923,0.00484,0.2413,0.00153,0.27147,0.00048,0.29897
100,164,10,0.0148,0.11514,,0.14193,0.030917434728119805,0.05857942243111472,0.00198,0.17571,0.0003,0.20382,0.0,0.23213
100,164,11,0.02606,0.15879,,0.19963,0.04040311085558669,0.0881225585247866,0.00371,0.22633,0.00117,0.25623,0.00037,0.28451
100,164,12,0.01475,0.11452,,0.14119,0.030746993277073097,0.05831240299108356,0.00196,0.1749,0.00026,0.20315,0.0,0.23153
100,164,13,0.02248,0.14891,,0.18721,0.03863373107501763,0.0805429106024091,0.00316,0.2155,0.00099,0.24535,0.00031,0.27406
100,164,14,0.01474,0.11415,,0.14075,0.030649034000591723,0.058171423282475675,0.00196,0.17485,0.00021,0.20552,0.0,0.2511
100,164,15,0.02042,0.14232,,0.17844,0.03734881076975584,0.07562999453922517,0.00286,0.20871,0.00091,0.23908,0.00028,0.26937
100,164,16,0.01471,0.11395,,0.14042,0.030582004247851086,0.058025629824132736,0.00196,0.17411,0.00025,0.2028,0.0,0.23506
100,164,17,0.01914,0.13737,,0.17179,0.03627705687869411,0.07220898707416724,0.00269,0.20292,0.00086,0.2334,0.00026,0.26986
100,164,18,0.01472,0.11408,,0.14076,0.030626411207138705,0.05813407495123435,0.00195,0.17424,0.00021,0.20261,0.0,0.2356
100,164,19,0.01832,0.13416,,0.16726,0.03558293714590452,0.06994243853255747,0.00256,0.19972,0.00082,0.2299,0.00026,0.26226
100,164,20,0.01485,0.11502,,0.14179,0.030897897015121273,0.058595827460049016,0.002,0.1766,0.00038,0.20983,0.0,0.27763
100,164,21,0.01789,0.13323,,0.16552,0.0354718156859136,0.06896679385437275,0.0025,0.20025,0.00079,0.23153,0.00025,0.26172
100,164,22,0.01514,0.11767,,0.14491,0.031620559179386415,0.059859546645054454,0.00201,0.18085,0.00022,0.21031,0.0,0.24088
100,164,23,0.01777,0.13371,,0.16583,0.035663488878274203,0.06890254286618222,0.00248,0.20086,0.00079,0.23081,0.00025,0.25934
100,164,24,0.01559,0.12109,,0.14942,0.03250532571634258,0.061658283630538754,0.00208,0.18432,0.00027,0.21314,0.0,0.24065
100,164,25,0.01781,0.13524,,0.16744,0.03614766105586389,0.06944273289205934,0.0025,0.20438,0.0008,0.2378,0.00022,0.28476
100,164,26,0.01591,0.12365,,0.15251,0.03319494348991628,0.06292211769970486,0.00211,0.18814,0.00022,0.21696,0.0,0.24276
100,164,27,0.01772,0.13602,,0.16787,0.036424385937555745,0.06946197751210315,0.00247,0.20621,0.00078,0.23767,0.00025,0.26591
100,164,28,0.01591,0.12545,,0.15402,0.03378015090640423,0.06340309527285498,0.00212,0.19245,0.00028,0.22272,0.0,0.2533
100,164,29,0.01741,0.13445,,0.16559,0.036065488194352596,0.06848186561375157,0.00243,0.20526,0.00077,0.23697,0.00025,0.26862
100,164,30,0.01562,0.1218,,0.14999,0.03273002612686294,0.06188230084066179,0.00208,0.18628,0.00032,0.21574,0.0,0.24428
100,164,31,0.01691,0.12945,,0.15997,0.03464347482915386,0.06622038999735527,0.00236,0.19583,0.00075,0.22562,0.00024,0.25213
100,164,32,0.01524,0.11853,,0.14596,0.031917668797452385,0.060303901589104744,0.00203,0.1857,0.00027,0.22764,0.0,0.2597
100,164,33,0.01653,0.12677,,0.15658,0.033980522775730666,0.06481243461751103,0.00231,0.19362,0.00073,0.22786,0.00023,0.28417
100,164,34,0.01501,0.11669,,0.1439,0.03135579484775615,0.059399236064223745,0.00199,0.17897,0.00021,0.21098,0.0,0.25264
100,164,35,0.01627,0.12454,,0.15391,0.033344134328251486,0.06372101845466734,0.00227,0.18912,0.00072,0.21873,0.00023,0.24649
100,164,36,0.01489,0.11529,,0.14219,0.030942769415932055,0.05875654170838824,0.00198,0.17609,0.00026,0.20484,0.0,0.23354
100,164,37,0.01612,0.12322,,0.15235,0.032984326353803425,0.06308746763679095,0.00225,0.187,0.00071,0.21694,0.00022,0.24745
100,164,38,0.01482,0.11475,,0.14164,0.030799322623475255,0.05850127642897355,0.00197,0.17516,0.00021,0.20389,0.0,0.23552
100,164,39,0.01601,0.1225,,0.15145,0.03279989456321568,0.06270499511219811,0.00223,0.18611,0.0007,0.21573,0.00022,0.24382
