Window_Size,Sample_Count_Mio,Frequency,5%%-Quantile,95%%-Quantile,First_Lower_Outlier,First_Upper_Outlier,Std_Deviation,Mean,0.1%%-Quantile,99.9%%-Quantile,0.01%%-Quantile,99.99%%-Quantile,0.001%%-Quantile,99.999%%-Quantile
80,173,0,1.02737,1.35438,0.96487,1.437,0.09853319697380297,1.1992301845464959,0.87475,1.57837,0.79838,1.782,0.64688,1.984
80,173,1,0.64944,0.87097,0.60558,0.9276,0.06669150445980303,0.7655794627764031,0.54784,1.02041,0.50172,1.1452,0.40754,1.26791
80,173,2,0.01609,0.13288,,0.1595,0.03632692832789364,0.06560252222043077,0.00206,0.21969,0.0,0.26138,0.0,0.29738
80,173,3,0.17235,0.34738,0.11904,0.40181,0.05329945460918929,0.2602587028125359,0.0864,0.42902,0.04966,0.46799,0.02291,0.50412
80,173,4,0.01619,0.12608,,0.15531,0.03388148278191862,0.06412002206169064,0.00209,0.19328,0.0,0.22463,0.0,0.25341
80,173,5,0.08037,0.2473,0.02536,0.29945,0.05063039187962177,0.16278909239790876,0.01939,0.32447,0.00646,0.35849,0.00207,0.38788
80,173,6,0.01657,0.12854,,0.15876,0.03449784383740368,0.06552702659096238,0.00213,0.19546,0.0,0.22591,0.0,0.25347
80,173,7,0.04552,0.20713,,0.25769,0.048881511118356015,0.12398399416342973,0.00704,0.28362,0.00222,0.31736,0.0007,0.34716
80,173,8,0.01656,0.12867,,0.15879,0.034538753434888506,0.06552057719754592,0.00217,0.19574,0.0,0.22601,0.0,0.25469
80,173,9,0.03229,0.18442,,0.2316,0.04619511061597051,0.10422596003723478,0.00464,0.25977,0.00147,0.29288,0.00047,0.32297
80,173,10,0.0165,0.1279,,0.15782,0.03432413023641067,0.0651760409740162,0.00214,0.19486,0.0,0.22564,0.0,0.25647
80,173,11,0.02641,0.17026,,0.21431,0.043902816593296756,0.09292916133778494,0.00372,0.24508,0.00118,0.27933,0.00038,0.31339
80,173,12,0.01647,0.12757,,0.15743,0.0342391140504576,0.06502874574015079,0.00213,0.19467,0.0,0.22618,0.0,0.25943
80,173,13,0.0234,0.16102,,0.20212,0.042123809607617024,0.08597955559271177,0.00329,0.23469,0.00104,0.26814,0.00033,0.3024
80,173,14,0.01645,0.12746,,0.1574,0.034205866790451435,0.06499731573172837,0.00212,0.19409,0.0,0.22573,0.0,0.26069
80,173,15,0.0217,0.15508,,0.19403,0.04090671486994288,0.08165738602999197,0.00304,0.22842,0.00096,0.26171,0.0003,0.2939
80,173,16,0.01661,0.12876,,0.15878,0.03457906281772196,0.06559881230447934,0.00219,0.19718,0.0,0.23178,0.0,0.28976
80,173,17,0.02083,0.15292,,0.1905,0.04057479324486056,0.07963703040234149,0.00292,0.22789,0.00092,0.26202,0.00029,0.29435
80,173,18,0.01703,0.13241,,0.16325,0.03555578168947146,0.06739853789187801,0.00218,0.20191,0.0,0.23317,0.0,0.26398
80,173,19,0.02058,0.15354,,0.19082,0.04086237527158287,0.07942071002802605,0.00288,0.2291,0.00091,0.26234,0.00029,0.29121
80,173,20,0.01764,0.13695,,0.16917,0.03676498280454805,0.0697913768983556,0.0023,0.20809,0.0,0.24239,0.0,0.29001
80,173,21,0.02045,0.15457,,0.19164,0.041232395740398026,0.07951185745361361,0.00286,0.23117,0.0009,0.26416,0.00029,0.29279
80,173,22,0.01781,0.13977,,0.17235,0.037563212042439315,0.07091491551865217,0.00229,0.21172,0.0,0.24337,0.0,0.27206
80,173,23,0.02002,0.15327,,0.18931,0.041012133079292586,0.07837466230327642,0.0028,0.23145,0.00088,0.26569,0.00028,0.29919
80,173,24,0.0175,0.13611,,0.16789,0.03654205497170288,0.06925805025897104,0.00229,0.20679,0.0,0.23797,0.0,0.26574
80,173,25,0.01929,0.14683,,0.18166,0.03924111310858344,0.07528895249785877,0.00269,0.22117,0.00085,0.25381,0.00027,0.28095
