Window_Size,Sample_Count_Mio,Frequency,5%%-Quantile,95%%-Quantile,First_Lower_Outlier,First_Upper_Outlier,Std_Deviation,Mean,0.1%%-Quantile,99.9%%-Quantile,0.01%%-Quantile,99.99%%-Quantile,0.001%%-Quantile,99.999%%-Quantile
30,186,0,0.96233,1.426,0.84467,1.55833,0.14007808282676615,1.2002046476598136,0.75967,1.68833,0.68567,1.865,0.61467,2.015
30,186,1,0.60741,0.92711,0.52165,1.01975,0.09658145656885171,0.7701756915293981,0.4736,1.10054,0.42631,1.20513,0.38301,1.28514
30,186,2,0.02684,0.20942,,0.25929,0.05620793298865717,0.10672603302239946,0.00326,0.31509,0.0,0.36108,0.0,0.39977
30,186,3,0.13735,0.41527,0.04243,0.5032,0.08436481865030923,0.2736331105149904,0.03649,0.53834,0.01239,0.5891,0.00393,0.63166
30,186,4,0.02703,0.20886,,0.25936,0.05592619698969352,0.10687697945712851,0.00328,0.31116,0.0,0.3535,0.0,0.38817
30,186,5,0.0618,0.31861,,0.39965,0.07775917771108906,0.18493149427084293,0.00913,0.43773,0.00291,0.48657,0.00088,0.52661
30,186,6,0.0273,0.21161,,0.26227,0.05666550160263995,0.10806175486960326,0.00343,0.31498,0.0,0.35709,0.0,0.39148
30,186,7,0.04408,0.28917,,0.36413,0.07472807189718422,0.15684939164168468,0.00623,0.40951,0.00197,0.45715,0.00062,0.49495
30,186,8,0.02884,0.22348,,0.27876,0.05976412494228826,0.11443254462957282,0.00351,0.32536,0.0,0.36569,0.0,0.39775
30,186,9,0.03842,0.27425,,0.3437,0.07216318446862328,0.1443968332559008,0.00539,0.39424,0.0017,0.44054,0.00054,0.47716
30,186,10,0.02779,0.21433,,0.26622,0.0573321177540202,0.10973297981816704,0.00346,0.31734,0.0,0.36178,0.0,0.41
30,186,11,0.03539,0.25526,,0.31979,0.06737795047039233,0.1339586746313684,0.00497,0.37043,0.00157,0.41716,0.0005,0.45572
30,186,12,0.02723,0.20979,,0.26064,0.05611136761450671,0.10744542239834769,0.00342,0.31061,0.0,0.35212,0.0,0.38663
30,186,13,0.03403,0.24952,,0.31192,0.06608226024276644,0.13010908586627842,0.00477,0.36383,0.0015,0.40999,0.00048,0.44715
30,186,14,0.02677,0.2072,,0.25721,0.05547736162985284,0.10593214051444012,0.00327,0.30768,0.0,0.34982,0.0,0.38728
30,186,15,0.00933,0.278,,0.34633,0.08504655079619773,0.11536600614403454,0.00033,0.45067,0.0,0.52667,0.0,0.6
